time,title,price
2026-51-01/08/26 22:51:12,Notts County Group Day,100.0
2026-55-01/08/26 22:55:30,Notts County Group Day,7.65
2026-55-01/08/26 22:55:35,Notts County Group Day,100.0
2026-18-01/09/26 15:18:51,Notts County Group Day,100.0
2026-26-01/09/26 18:26:51,Notts County Group Day,7.65
2026-27-01/09/26 18:27:23,Notts County Group Day,12.0
2026-05-01/09/26 21:05:03,Notts County Group Day,9.8
2026-05-01/09/26 21:05:26,Notts County Group Day,1000.0
2026-24-01/11/26 16:24:34,Adult Single 10 Trips,27.0
2026-29-01/11/26 16:29:55,NTU Academic Year 2025/6,10.0
2026-52-01/11/26 16:52:13,Adult Single 10 Trips,27.0
2026-55-01/11/26 16:55:43,Adult Single 10 Trips,27.0
2026-29-01/11/26 17:29:57,Adult Single 10 Trips,27.0
2026-31-01/11/26 17:31:23,Adult Single,3.0
2026-31-01/11/26 17:31:28,Adult Single 10 Trips,27.0
2026-31-01/11/26 17:31:34,Under 19 Single,2.0
2026-31-01/11/26 17:31:41,Adult 24 Hour Cityrider x 5,23.4
2026-31-01/11/26 17:31:47,Under 22 24 Hour Cityrider x 50,162.55
2026-32-01/11/26 17:32:16,Grouprider,9.0
2026-32-01/11/26 17:32:31,Adult 31 Day Cityrider,75.0
2026-32-01/11/26 17:32:45,Adult Single 10 Trips,27.0
2026-32-01/11/26 17:32:57,Grouprider,100.0
2026-51-01/11/26 17:51:19,Student Single 10 Trips,22.5
2026-51-01/11/26 17:51:50,Adult Single 10 Trips,27.0
2026-52-01/11/26 17:52:06,Adult Single,3.0
2026-03-01/11/26 18:03:36,Grouprider,9.0
2026-26-01/11/26 18:26:43,Adult Single 10 Trips,27.0
2026-27-01/11/26 18:27:21,Adult Single 10 Trips,27.0
2026-35-01/11/26 18:35:16,UON Academic Year 2025/6,10.0
2026-46-01/11/26 19:46:39,UON Academic Year 2025/6,299.0
2026-46-01/11/26 19:46:50,Under 22 24 Hour Cityrider x 50,162.55
2026-47-01/11/26 19:47:45,Job Seeker Single,2.0
2026-48-01/11/26 19:48:12,Under 22 24 Hour Cityrider x 50,162.55
2026-22-01/11/26 20:22:28,Network Grouprider,9.0
2026-30-01/11/26 20:30:07,Job Seeker Single,2.5
2026-34-01/11/26 20:34:56,Job Seeker Single,2.0
2026-36-01/11/26 20:36:26,Job Seeker Single,27.0
2026-36-01/11/26 20:36:48,Under 22 24 Hour Cityrider x 50,23.4
2026-37-01/11/26 20:37:39,Notts County Group Day,100.0
2026-40-01/11/26 20:40:40,Notts County Group Day,19.0
2026-41-01/11/26 20:41:16,Under 22 Annual Cityrider,699.0
2026-42-01/11/26 20:42:51,Under 22 Annual Network Rider,859.0
2026-58-01/11/26 20:58:52,Network Grouprider,13.0
2026-22-01/11/26 22:22:40,UON Academic Year 2025/6,10.0
2026-22-01/11/26 22:22:48,Network Grouprider,13.0
2026-22-01/11/26 22:22:57,Under 22 Annual Network Rider,2.0
2026-45-01/11/26 22:45:03,Under 22 24 Hour Cityrider x 50,44.4
2026-45-01/11/26 22:45:13,Under 22 24 Hour Cityrider x 50,44.4
